





























originairport,destairport,origincancelproportion,destcancelproportion
ABE,ABE,0.019776119,0.020876048
ABI,ABI,0.028463792,0.027638191
ACT,ACT,0.038200863,0.03758472
ADK,ADK,0.07692308,0.09615385
AKN,AKN,0.04032258,0.038306452
ALB,ALB,0.01424307,0.013815453
ALO,ALO,0.02550091,0.021818181
ALS,ALS,0.020766772,0.017571885
ANC,ANC,0.01872446,0.021416377
ART,ART,0.028301887,0.02511774
ATL,ATL,0.0065403287,0.0067638955
ATW,ATW,0.018007878,0.018849347
AVP,AVP,0.018332757,0.018332757
AZO,AZO,0.011126565,0.010199351
BET,BET,0.03008596,0.027220631
BFL,BFL,0.014744801,0.013232514
BGR,BGR,0.019143477,0.020516867
BIH,BIH,0.102564104,0.102564104
BJI,BJI,0.012261581,0.012261581
BLI,BLI,0.037712894,0.037682332
BLV,BLV,0.03717754,0.02822273
BMI,BMI,0.01656003,0.016183665
BQN,BQN,0.027638191,0.027568921
BTR,BTR,0.02602811,0.02723803
BTV,BTV,0.01533171,0.013316151
BUF,BUF,0.018747414,0.016910069
CAE,CAE,0.011557023,0.01028702
CHA,CHA,0.012492902,0.012217645
CHS,CHS,0.016868956,0.014976342
CIU,CIU,0.009602195,0.0068587107
CKB,CKB,0.027180068,0.029511917
CLL,CLL,0.03685742,0.037324283
COS,COS,0.024281634,0.025113389
CRW,CRW,0.021961933,0.019033674
CVG,CVG,0.013909742,0.013702508
DBQ,DBQ,0.022727273,0.019197207
DCA,DCA,0.014887166,0.01507271
DDC,DDC,0.02724359,0.0288
DEC,DEC,0.057507988,0.055910543
DFW,DFW,0.032023624,0.032906234
DIK,DIK,0.041818183,0.04
DLG,DLG,0.08125,0.060416665
DSM,DSM,0.016859345,0.016095748
DTW,DTW,0.008623073,0.0085558705
EAR,EAR,0.014925373,0.022316685
ECP,ECP,0.017392168,0.016007159
EUG,EUG,0.016960967,0.014644352
FAI,FAI,0.022017956,0.01923077
FAT,FAT,0.013978947,0.013471415
FCA,FCA,0.009965035,0.0073439414
FLG,FLG,0.034809057,0.03041568
FLL,FLL,0.018768288,0.019893216
FOD,FOD,0.042307694,0.047984645
FSM,FSM,0.047583643,0.049777117
GCC,GCC,0.026631158,0.025299601
GCK,GCK,0.027510317,0.024793388
GSP,GSP,0.013173653,0.011448668
GTR,GTR,0.0099502485,0.009940358
GUM,GUM,0.0062015504,0.00311042
HOB,HOB,0.019138755,0.014319809
HYA,HYA,0.033898305,0.033898305
HYS,HYS,0.030351438,0.031897925
IAG,IAG,0.055,0.047738694
IAH,IAH,0.022963518,0.023560056
ILM,ILM,0.012421531,0.010553032
IPT,IPT,0.046728972,0.042056076
ISP,ISP,0.023942538,0.020762628
JMS,JMS,0.053868756,0.043095004
JNU,JNU,0.020838564,0.015566156
KTN,KTN,0.020342117,0.014794267
LAS,LAS,0.014687579,0.015130839
LAX,LAX,0.01248867,0.0128562
LCH,LCH,0.04143337,0.038590603
LIH,LIH,0.00776162,0.006241084
LRD,LRD,0.031429835,0.030503979
LWS,LWS,0.003968254,0.003964321
LYH,LYH,0.010932106,0.012650949
MDT,MDT,0.016880486,0.016769838
MDW,MDW,0.025093831,0.026492942
MEI,MEI,0.032626428,0.029363785
MFR,MFR,0.014586709,0.013095535
MHT,MHT,0.020200413,0.017175572
MKG,MKG,0.04526749,0.042524006
MOT,MOT,0.0097402595,0.009743775
MSY,MSY,0.052452568,0.05168569
MVY,MVY,0.043521266,0.037586547
OAJ,OAJ,0.006325111,0.0056944005
OME,OME,0.02739726,0.022260275
ORH,ORH,0.04,0.03183024
PBI,PBI,0.01815865,0.01670916
PGD,PGD,0.021091396,0.023885084
PIT,PIT,0.014692866,0.014571412
PRC,PRC,0.019607844,0.01845444
PSE,PSE,0.015037594,0.018656716
PSG,PSG,0.01519337,0.011049724
PVU,PVU,0.05212766,0.04584222
RFD,RFD,0.023622047,0.015852047
RIC,RIC,0.017710961,0.01667696
RNO,RNO,0.022390565,0.020133263
RST,RST,0.014593468,0.01389854
SAF,SAF,0.028800756,0.027384324
SAN,SAN,0.0132281305,0.013240809
SAT,SAT,0.023283836,0.0224309
SAV,SAV,0.017137207,0.015814617
SBP,SBP,0.01369863,0.012147842
SCC,SCC,0.015555556,0.015555556
SCE,SCE,0.017080246,0.019019987
SDF,SDF,0.018977333,0.016862275
SGF,SGF,0.019887693,0.018837018
SHR,SHR,0.026462395,0.025069637
SJT,SJT,0.04442344,0.04206049
SLN,SLN,0.0116959065,0.016081871
SPI,SPI,0.03200569,0.02771855
SPS,SPS,0.04893449,0.0488959
SRQ,SRQ,0.018841205,0.016495353
STS,STS,0.021862578,0.018450184
SWF,SWF,0.027472528,0.023383768
TUS,TUS,0.017171849,0.016326265
VEL,VEL,0.052380953,0.041269843
WRG,WRG,0.01519337,0.0138121545
XWA,XWA,0.024346258,0.023444545
YAK,YAK,0.06629834,0.019337017
YKM,YKM,0.018567638,0.01458886
ABY,ABY,0.0,0.0
ACV,ACV,0.030023094,0.02536023
ACY,ACY,0.031761307,0.025682183
AEX,AEX,0.034471437,0.032480314
AGS,AGS,0.009775374,0.008328129
ALW,ALW,0.027667984,0.023715414
AMA,AMA,0.03471634,0.033015873
ATY,ATY,0.031045752,0.022875817
AUS,AUS,0.021030392,0.019839142
AVL,AVL,0.021270368,0.021349192
AZA,AZA,0.021003501,0.025308026
BGM,BGM,0.005479452,0.0
BIL,BIL,0.01569264,0.013181654
BIS,BIS,0.013230695,0.01491819
BKG,BKG,0.028169014,0.014084507
BOS,BOS,0.0130890915,0.013642069
BPT,BPT,0.029015545,0.026943006
BQK,BQK,0.0019398642,9.699321E-4
BRD,BRD,0.009375,0.009375
BRW,BRW,0.024861878,0.016574586
BTM,BTM,0.004347826,0.004347826
BWI,BWI,0.025067238,0.025969552
CAK,CAK,0.019354839,0.018812148
CDB,CDB,0.06923077,0.03846154
CDV,CDV,0.031767957,0.03729282
CGI,CGI,0.057416268,0.05582137
CLT,CLT,0.011860084,0.012717539
CMI,CMI,0.023321956,0.02334852
CNY,CNY,0.019498607,0.016713092
COD,COD,0.021012416,0.025763359
CPR,CPR,0.02382134,0.019851116
CYS,CYS,0.07339449,0.06880734
DAB,DAB,0.0081571,0.006954944
DAY,DAY,0.013632945,0.0156103065
DEN,DEN,0.021775939,0.022595793
DRT,DRT,0.028744327,0.025718609
DVL,DVL,0.05175038,0.053272452
EGE,EGE,0.050569322,0.04757119
EKO,EKO,0.013353116,0.013353116
ELM,ELM,0.013096352,0.012172285
ELP,ELP,0.021148246,0.020446355
ERI,ERI,0.013289036,0.01461794
ESC,ESC,0.020437956,0.023357663
EWN,EWN,0.012080537,0.0053655263
FLO,FLO,0.004137931,0.002754821
FNT,FNT,0.017460788,0.01687389
FWA,FWA,0.017907014,0.016595464
GGG,GGG,0.05075594,0.046386193
GJT,GJT,0.014129354,0.013139558
GRI,GRI,0.030558482,0.02736842
GRK,GRK,0.050869286,0.049243644
GRR,GRR,0.017536845,0.015310786
GSO,GSO,0.015435403,0.014448805
GST,GST,0.02247191,0.011235955
HNL,HNL,0.0071740225,0.0073603424
HRL,HRL,0.026403487,0.025634453
HTS,HTS,0.029850746,0.02835821
ICT,ICT,0.022514071,0.02042092
IDA,IDA,0.016612131,0.013853904
ILG,ILG,0.016949153,0.016949153
INL,INL,0.043613706,0.040498443
ITH,ITH,0.016393442,0.013651877
ITO,ITO,0.008160828,0.0069637885
JAN,JAN,0.025619539,0.024652945
KOA,KOA,0.008506551,0.0070649562
LAN,LAN,0.01438849,0.014794082
LBB,LBB,0.031543624,0.029860761
LBE,LBE,0.038240917,0.03444976
LEX,LEX,0.022382094,0.019318702
LGA,LGA,0.017467,0.01670783
LGB,LGB,0.016803954,0.015152763
LIT,LIT,0.021940148,0.021265866
LNK,LNK,0.027633851,0.025895555
LSE,LSE,0.012339819,0.012339819
LWB,LWB,0.031722054,0.024169184
MAF,MAF,0.033135947,0.03288396
MCO,MCO,0.016564006,0.017372029
MCW,MCW,0.040076334,0.041904762
MEM,MEM,0.02944039,0.027449263
MFE,MFE,0.03360656,0.031346034
MGM,MGM,0.0122154355,0.013881177
MKE,MKE,0.016966663,0.017005045
MKK,MKK,0.0,0.0
MLB,MLB,0.0043273014,0.0055074743
MLI,MLI,0.020909926,0.01721763
MOB,MOB,0.021772057,0.020821502
MQT,MQT,0.014354067,0.012987013
MSN,MSN,0.015531109,0.014606638
MSO,MSO,0.012263838,0.009782789
MSP,MSP,0.008116496,0.008329767
MTJ,MTJ,0.038240917,0.031538706
OAK,OAK,0.01508963,0.015597085
OGG,OGG,0.008431139,0.006722377
OKC,OKC,0.02131231,0.020082364
OMA,OMA,0.016994083,0.015242604
ONT,ONT,0.014795691,0.013652385
PDX,PDX,0.014088541,0.01419341
PHF,PHF,0.005750131,0.007841087
PIA,PIA,0.024182077,0.022759601
PIH,PIH,0.004282655,0.004287245
PIR,PIR,0.036484245,0.023178808
PQI,PQI,0.028985508,0.04347826
PSM,PSM,0.017804155,0.017804155
PUW,PUW,0.02173913,0.017598344
PVD,PVD,0.024452286,0.021985235
PWM,PWM,0.021082157,0.019455252
RAP,RAP,0.019202119,0.01473266
RDD,RDD,0.008116883,0.010534846
RDM,RDM,0.0138202105,0.012049721
RDU,RDU,0.013864701,0.012481628
RIW,RIW,0.025684932,0.022260275
ROA,ROA,0.01943763,0.017182779
ROW,ROW,0.027657736,0.027633851
RSW,RSW,0.01841318,0.017361026
SBY,SBY,0.0044500954,0.0044472683
SCK,SCK,0.033033032,0.027108435
SFB,SFB,0.023664359,0.027757714
SGU,SGU,0.0073490813,0.0065634022
SIT,SIT,0.017210145,0.017210145
SJC,SJC,0.013919472,0.013788764
SJU,SJU,0.013205566,0.011375563
SMF,SMF,0.013094933,0.012745098
SMX,SMX,0.048780486,0.045592707
SPN,SPN,0.0,0.0
STC,STC,0.1,0.1
SUN,SUN,0.028280018,0.012511585
SUX,SUX,0.023863636,0.014755959
TOL,TOL,0.017450683,0.01674277
TRI,TRI,0.0054363376,0.0048640915
TTN,TTN,0.022702703,0.020540541
TUL,TUL,0.023340069,0.02235843
TVC,TVC,0.020123277,0.018491661
TWF,TWF,0.006044905,0.005277045
TYS,TYS,0.014428627,0.0153097175
VCT,VCT,0.031948883,0.031948883
ABQ,ABQ,0.016991783,0.014639325
ABR,ABR,0.009333333,0.0053333333
ACK,ACK,0.060791705,0.055136662
ADQ,ADQ,0.06352683,0.06345733
APN,APN,0.016025642,0.014423077
ASE,ASE,0.074551,0.059461292
BDL,BDL,0.017341882,0.01675652
BFF,BFF,0.031948883,0.033546325
BHM,BHM,0.015586207,0.014411805
BNA,BNA,0.02060726,0.020416344
BOI,BOI,0.011291292,0.010289466
BRO,BRO,0.026748972,0.025524907
BUR,BUR,0.030758996,0.028491048
BZN,BZN,0.018829169,0.014377407
CDC,CDC,0.0048076925,0.0048076925
CHO,CHO,0.011647254,0.010810811
CID,CID,0.022373328,0.018104015
CLE,CLE,0.016381342,0.01569284
CMH,CMH,0.014921232,0.014486053
CMX,CMX,0.04240766,0.04377565
COU,COU,0.065645516,0.06451613
CRP,CRP,0.028686868,0.028282829
CSG,CSG,0.0020562029,0.004103967
CWA,CWA,0.012239021,0.012239021
DAL,DAL,0.027078409,0.028347779
DHN,DHN,0.0,0.0
DLH,DLH,0.013541239,0.014778325
DRO,DRO,0.019795222,0.017507957
EAT,EAT,0.019753087,0.016049383
EAU,EAU,0.045454547,0.045454547
EVV,EVV,0.015047181,0.015808262
EWR,EWR,0.03156631,0.032093704
EYW,EYW,0.02154294,0.019021738
FAR,FAR,0.022074714,0.02037666
FAY,FAY,0.006161972,0.006455399
FSD,FSD,0.021796407,0.019765213
GEG,GEG,0.012897984,0.012491114
GFK,GFK,0.007849294,0.008634223
GNV,GNV,0.011146497,0.011408862
GPT,GPT,0.021173036,0.021411192
GRB,GRB,0.015280465,0.014318885
GTF,GTF,0.015955715,0.012381883
GUC,GUC,0.05473684,0.05573081
HDN,HDN,0.025250502,0.021242484
HGR,HGR,0.037837837,0.037837837
HHH,HHH,0.023188407,0.0183708
HIB,HIB,0.011075949,0.012658228
HLN,HLN,0.012835473,0.00991832
HOU,HOU,0.02875485,0.029832566
HPN,HPN,0.016322251,0.014961101
HSV,HSV,0.018466573,0.017878009
HVN,HVN,0.0456621,0.0456621
IAD,IAD,0.01799293,0.018771172
IMT,IMT,0.009602195,0.0068587107
IND,IND,0.015841637,0.016734727
JAC,JAC,0.019013759,0.016380776
JAX,JAX,0.016404014,0.014948226
JFK,JFK,0.012667877,0.013405117
JLN,JLN,0.04252734,0.04252734
JST,JST,0.035555556,0.04148148
LAR,LAR,0.038338657,0.038338657
LAW,LAW,0.06422018,0.057547957
LBF,LBF,0.025559105,0.02715655
LBL,LBL,0.057507988,0.05111821
LCK,LCK,0.030250648,0.023356402
LFT,LFT,0.028846154,0.028436989
LNY,LNY,0.0,0.0
MBS,MBS,0.0128635345,0.013982103
MCI,MCI,0.0167555,0.01590945
MHK,MHK,0.028846154,0.027453672
MIA,MIA,0.014150328,0.014440472
MLU,MLU,0.027221777,0.026020817
MRY,MRY,0.017715998,0.018246187
MYR,MYR,0.024157437,0.022273289
OGD,OGD,0.01980198,0.01
OGS,OGS,0.03821656,0.031847134
ORD,ORD,0.020622743,0.021819824
ORF,ORF,0.01562995,0.014252534
OTH,OTH,0.026946107,0.014880952
OTZ,OTZ,0.03938356,0.037671234
OWB,OWB,0.01,0.01
PAE,PAE,0.019833948,0.022622345
PAH,PAH,0.053497944,0.049382716
PBG,PBG,0.05346294,0.049878344
PGV,PGV,0.007658643,0.0054644807
PHL,PHL,0.013608671,0.014105246
PHX,PHX,0.011815239,0.012763202
PIB,PIB,0.04313099,0.04313099
PIE,PIE,0.021109218,0.02332285
PLN,PLN,0.012457531,0.011049724
PNS,PNS,0.024671879,0.02165185
PPG,PPG,0.0,0.0
PSC,PSC,0.013119782,0.012097461
PSP,PSP,0.016007671,0.01430995
PUB,PUB,0.024115756,0.024115756
RHI,RHI,0.0064446833,0.007518797
RKS,RKS,0.04244482,0.03565365
ROC,ROC,0.015879866,0.014920224
SBA,SBA,0.01771888,0.014578994
SBN,SBN,0.0156224305,0.013977964
SEA,SEA,0.014277637,0.015506598
SFO,SFO,0.011640737,0.012441664
SHD,SHD,0.027142856,0.027104137
SHV,SHV,0.030802293,0.030259624
SLC,SLC,0.007827,0.007910117
SNA,SNA,0.021150086,0.019494448
STL,STL,0.017842004,0.01740656
STT,STT,0.010028439,0.007934132
STX,STX,0.008287293,0.00691085
SWO,SWO,0.025270758,0.028933093
SYR,SYR,0.013786765,0.014029227
TBN,TBN,0.07042254,0.07042254
TLH,TLH,0.01278382,0.01220908
TPA,TPA,0.017339434,0.017222222
TXK,TXK,0.03831776,0.036414567
TYR,TYR,0.06403941,0.06122449
USA,USA,0.03961965,0.031771246
VLD,VLD,0.004237288,0.004237288
VPS,VPS,0.026874116,0.025033267
WYS,WYS,0.006263048,0.0020876827
XNA,XNA,0.01646662,0.0163658
YUM,YUM,0.011698881,0.012716175


