























dayofmonth,totalnum,cancellednum,cancelproportion
1,204371,5856,0.028653773
2,203692,3916,0.019225104
3,205663,2533,0.012316265
4,203777,2369,0.011625453
5,205212,1799,0.008766544
6,200790,2094,0.010428806
7,206756,2681,0.012966976
8,209607,2519,0.012017729
9,203895,3350,0.016430026
10,206631,4296,0.020790685
11,208710,4704,0.02253845
12,210619,2237,0.010621074
13,203191,4095,0.020153452
14,207593,6497,0.031296816
15,211737,7635,0.036058884
16,206397,4651,0.022534242
17,207369,4881,0.023537751
18,210752,5380,0.025527634
19,211622,2896,0.013684778
20,205166,1473,0.007179552
21,210430,2754,0.013087488
22,213107,2962,0.013899121
23,208926,2076,0.009936533
24,206852,2770,0.013391217
25,200604,3306,0.01648023
26,207450,3456,0.016659437
27,206998,2721,0.013145055
28,211552,3317,0.01567936
29,200180,2975,0.014861625
30,194155,4000,0.020602096
31,118067,4819,0.040815808


